raceEn,raceTc,typeEn,typeTc,metaEn,metaTc,listEn,listTc,banker,sel,betLink,sort,hasPublished,expertName
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",5. ROBOT KNIGHT,5. 機械騎士,false,false,https://sh.hkjc.com/m/8rlGQC53iL,0,false,Sarah
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",9. EXCELLENT DADDY,9. 逆市奇爸,false,false,https://sh.hkjc.com/m/8rlGQC53iL,0,false,Sarah
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",12. SONIC BOOM,12. 快馬加鞭,false,false,https://sh.hkjc.com/m/8rlGQC53iL,0,false,Sarah
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",2. COURIER MAGIC,2. 魔法速遞,false,false,https://sh.hkjc.com/m/ld1JLbUDyv,0,false,Sarah
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",6. JOLLY JUMPER,6. 肥仔精神,false,false,https://sh.hkjc.com/m/ld1JLbUDyv,0,false,Sarah
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",11. GO GO GO,11. 上市魅力,false,false,https://sh.hkjc.com/m/ld1JLbUDyv,0,false,Sarah
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",8. GLACIATED,8. 金多囍,false,false,https://sh.hkjc.com/m/YneEeVsqGm,0,false,Sarah
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",10. SPEEDY SMARTIE,10. 伶俐驫駒,false,false,https://sh.hkjc.com/m/YneEeVsqGm,0,false,Sarah
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",11. JUICY DRAGON,11. 起舞奜奜,false,false,https://sh.hkjc.com/m/YneEeVsqGm,0,false,Sarah
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",3. SOLEIL FIGHTER,3. 太陽勇士,false,false,https://sh.hkjc.com/m/iOD0HZZHPW,0,false,Sarah
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",4. CAPITAL DELIGHT,4. 喜至寶,false,false,https://sh.hkjc.com/m/iOD0HZZHPW,0,false,Sarah
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",1. SUPREME SEA,1. 旺旺嘉駒,false,false,https://sh.hkjc.com/m/iL9bNiKuUy,0,false,Sarah
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",3. MR COOL,3. 紅衣醒目,false,false,https://sh.hkjc.com/m/iL9bNiKuUy,0,false,Sarah
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",11. CONRAD THE GREAT,11. 勇者無敵,false,false,https://sh.hkjc.com/m/iL9bNiKuUy,0,false,Sarah
Race6,第6場,QUINELLA,連贏,"21/01 (Sun) 21:15, Class 4,|1800M, All Weather Track","21/01 (星期三) 21:15, 第四班,|1800米, 全天候跑道",2. GLORIOUS SUCCESS,2. 本領輝煌,false,false,https://sh.hkjc.com/m/qXDna1IFud,0,false,Sarah
Race6,第6場,QUINELLA,連贏,"21/01 (Sun) 21:15, Class 4,|1800M, All Weather Track","21/01 (星期三) 21:15, 第四班,|1800米, 全天候跑道",5. FIGHTING MACHINE,5. 堅闖,false,false,https://sh.hkjc.com/m/qXDna1IFud,0,false,Sarah
Race6,第6場,QUINELLA,連贏,"21/01 (Sun) 21:15, Class 4,|1800M, All Weather Track","21/01 (星期三) 21:15, 第四班,|1800米, 全天候跑道",6. FOREVER FOLKS,6. 年年友福,false,false,https://sh.hkjc.com/m/qXDna1IFud,0,false,Sarah
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",6. SIGHT DREAMER,6. 巧眼光,false,false,https://sh.hkjc.com/m/1HRvRKpFvo,0,false,Sarah
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",9. LESLIE,9. 風繼續吹,false,false,https://sh.hkjc.com/m/1HRvRKpFvo,0,false,Sarah
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",13. SUPERB GUY,13. 巴閉佬,false,false,https://sh.hkjc.com/m/1HRvRKpFvo,0,false,Sarah
Race8,第8場,QUINELLA,連贏,"21/01 (Sun) 22:15, Class 3,|1200M, All Weather Track","21/01 (星期三) 22:15, 第三班,|1200米, 全天候跑道",3. MUST GO,3. 德心知遇,false,false,https://sh.hkjc.com/m/CcfASQKrCM,0,false,Sarah
Race8,第8場,QUINELLA,連贏,"21/01 (Sun) 22:15, Class 3,|1200M, All Weather Track","21/01 (星期三) 22:15, 第三班,|1200米, 全天候跑道",8. CHARMING BABE,8. 輕功猛男,false,false,https://sh.hkjc.com/m/CcfASQKrCM,0,false,Sarah
Race8,第8場,QUINELLA,連贏,"21/01 (Sun) 22:15, Class 3,|1200M, All Weather Track","21/01 (星期三) 22:15, 第三班,|1200米, 全天候跑道",9. BLAZING WIND,9. 熾烈神駒,false,false,https://sh.hkjc.com/m/CcfASQKrCM,0,false,Sarah
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",2. DEFINITIVE,2. 時時精準,false,false,https://sh.hkjc.com/m/PkSBse8hit,0,false,Sarah
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",3. FALLON,3. 快路,false,false,https://sh.hkjc.com/m/PkSBse8hit,0,false,Sarah
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",4. ANOTHER WORLD,4. 不同世界,false,false,https://sh.hkjc.com/m/PkSBse8hit,0,false,Sarah
Race1,第1場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",1. EXCEED THE WISH,1. 星之願,false,false,https://sh.hkjc.com/m/cNPnw3tZkJ,0,false,Cassie
Race1,第1場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",5. ROBOT KNIGHT,5. 機械騎士,false,false,https://sh.hkjc.com/m/cNPnw3tZkJ,0,false,Cassie
Race1,第1場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",11. MACANESE MASTER,11. 銀亮濠俠,false,false,https://sh.hkjc.com/m/cNPnw3tZkJ,0,false,Cassie
Race2,第2場,WIN & PLACE,獨贏及位置,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",10. PHANTOM CYCLONE,10. 幻影旋風,false,false,https://sh.hkjc.com/m/LmDUOgrOyC,0,false,Cassie
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",2. DAY DAY VICTORY,2. 瑤瑤日上,false,false,https://sh.hkjc.com/m/JNXjq2ZeK4,0,false,Cassie
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",6. MONTA FRUTTA,6. 花果猴王,false,false,https://sh.hkjc.com/m/JNXjq2ZeK4,0,false,Cassie
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",7. SWAGGER BRO,7. 猛將兄,false,false,https://sh.hkjc.com/m/JNXjq2ZeK4,0,false,Cassie
Race4,第4場,WIN,獨贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",5. TALENTS AMBITION,5. 精英雄心,false,false,https://sh.hkjc.com/m/SwnR6FBg75,0,false,Cassie
Race5,第5場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",1. SUPREME SEA,1. 旺旺嘉駒,false,false,https://sh.hkjc.com/m/izGacwtK5L,0,false,Cassie
Race5,第5場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",4. FORTUNE WHISKEY,4. 運來伍寶,false,false,https://sh.hkjc.com/m/izGacwtK5L,0,false,Cassie
Race6,第6場,WIN & PLACE,獨贏及位置,"21/01 (Sun) 21:15, Class 4,|1800M, All Weather Track","21/01 (星期三) 21:15, 第四班,|1800米, 全天候跑道",1. VERMILION TEMPEST,1. 赤風驪,false,false,https://sh.hkjc.com/m/hBVJbhW9wZ,0,false,Cassie
Race7,第7場,WIN & PLACE,獨贏及位置,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",7. NEVER PETER OUT,7. 天威,false,false,https://sh.hkjc.com/m/JpXOXymKOA,0,false,Cassie
Race8,第8場,WIN & PLACE,獨贏及位置,"21/01 (Sun) 22:15, Class 3,|1200M, All Weather Track","21/01 (星期三) 22:15, 第三班,|1200米, 全天候跑道",8. ARMOUR WAR EAGLE,12. 穿甲戰鷹,false,false, https://sh.hkjc.com/m/7shp7zdq8S,0,false,Cassie
Race9,第9場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",5. DRAGON AIR FORCE,5. 皇龍飛將,false,false,https://sh.hkjc.com/m/wukHQMAM99,0,false,Cassie
Race9,第9場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",8. TURIN MASCOT,8. 都靈福星,false,false,https://sh.hkjc.com/m/wukHQMAM99,0,false,Cassie
Race9,第9場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",12. SKY VINO,12. 滿心星,false,false,https://sh.hkjc.com/m/wukHQMAM99,0,false,Cassie
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",11. MACANESE MASTER,11. 銀亮濠俠,true,false,https://sh.hkjc.com/m/TkHijSZrIA,0,false,GM
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",1. EXCEED THE WISH,1. 星之願,false,true,https://sh.hkjc.com/m/TkHijSZrIA,0,false,GM
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",4. GENERAL SMART,4. 志醒大將,false,false,https://sh.hkjc.com/m/TkHijSZrIA,0,false,GM
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",12. SONIC BOOM,12. 快馬加鞭,false,false,https://sh.hkjc.com/m/TkHijSZrIA,0,false,GM
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",4. RUN RUN TIMING,4. 時間寶,false,false,https://sh.hkjc.com/m/cCLkGeshN6,0,false,GM
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",6. JOLLY JUMPER,6. 肥仔精神,false,false,https://sh.hkjc.com/m/cCLkGeshN6,0,false,GM
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",12. SUPREME WINNER,12. 紅旺繽紛,false,false,https://sh.hkjc.com/m/cCLkGeshN6,0,false,GM
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",6. MONTA FRUTTA,6. 花果猴王,true,false,https://sh.hkjc.com/m/fIwinnzjeA,0,false,GM
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",2. DAY DAY VICTORY,2. 瑤瑤日上,false,true,https://sh.hkjc.com/m/fIwinnzjeA,0,false,GM
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",8. GLACIATED,8. 金多囍,false,false,https://sh.hkjc.com/m/fIwinnzjeA,0,false,GM
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",10. SPEEDY SMARTIE,10. 伶俐驫駒,false,false,https://sh.hkjc.com/m/fIwinnzjeA,0,false,GM
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",5. TALENTS AMBITION,5. 精英雄心,true,false,https://sh.hkjc.com/m/TuIU2bPwhX,0,false,GM
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",1. SWORD POINT,1. 知足常樂,false,true,https://sh.hkjc.com/m/TuIU2bPwhX,0,false,GM
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",3. SOLEIL FIGHTER,3. 太陽勇士,false,false,https://sh.hkjc.com/m/TuIU2bPwhX,0,false,GM
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",6. NEW FOREST,6. 新意馬,false,false,https://sh.hkjc.com/m/TuIU2bPwhX,0,false,GM
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",1. SUPREME SEA,1. 旺旺嘉駒,true,false,https://sh.hkjc.com/m/cQglobJgLD,0,false,GM
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",2. VULCANUS,2. 星火燎原,false,true,https://sh.hkjc.com/m/cQglobJgLD,0,false,GM
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",4. FORTUNE WHISKEY,4. 運來伍寶,false,false,https://sh.hkjc.com/m/cQglobJgLD,0,false,GM
Race5,第5場,QUINELLA,連贏,"21/01 (Sun) 20:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 20:45, 第四班,|1200米, 全天候跑道",9. SO MY FOLKS,9. 嘉嘉友福,false,false,https://sh.hkjc.com/m/cQglobJgLD,0,false,GM
Race6,第6場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 21:15, Class 4,|1800M, All Weather Track","21/01 (星期三) 21:15, 第四班,|1800米, 全天候跑道",6. FOREVER FOLKS,6. 年年友福,false,false,https://sh.hkjc.com/m/P5BW7nKOML,0,false,GM
Race6,第6場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 21:15, Class 4,|1800M, All Weather Track","21/01 (星期三) 21:15, 第四班,|1800米, 全天候跑道",14. FOREMOST TEDDY,14. 領創動力,false,false,https://sh.hkjc.com/m/P5BW7nKOML,0,false,GM
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",8. CALIFORNIA STAR,8. 加州星馳,true,false,https://sh.hkjc.com/m/0VF1IUrSHN,0,false,GM
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",1. NEVER PETER OUT,1. 天威,false,true,https://sh.hkjc.com/m/0VF1IUrSHN,0,false,GM
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",6. SIGHT DREAMER,6. 巧眼光,false,false,https://sh.hkjc.com/m/0VF1IUrSHN,0,false,GM
Race7,第7場,QUINELLA,連贏,"21/01 (Sun) 21:45, Class 4,|1650M, All Weather Track","21/01 (星期三) 21:45, 第四班,|1650米, 全天候跑道",9. LESLIE,9. 風繼續吹,false,false,https://sh.hkjc.com/m/0VF1IUrSHN,0,false,GM
Race8,第8場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 22:15, Class 3,|1200M, All Weather Track","21/01 (星期三) 22:15, 第三班,|1200米, 全天候跑道",6. GUMMY GUMMY,6. 晶晶日上,false,false,https://sh.hkjc.com/m/1nbX1d2uVD,0,false,GM
Race8,第8場,QUINELLA & QUINELLA PLACE,連贏及位置Q,"21/01 (Sun) 22:15, Class 3,|1200M, All Weather Track","21/01 (星期三) 22:15, 第三班,|1200米, 全天候跑道",9. BLAZING WIND,9. 熾烈神駒,false,false,https://sh.hkjc.com/m/1nbX1d2uVD,0,false,GM
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",5. DRAGON AIR FORCE,5. 皇龍飛將,true,false,https://sh.hkjc.com/m/SavLaGl8Bj,0,false,GM
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",4. ANOTHER WORLD,4. 不同世界,false,true,https://sh.hkjc.com/m/SavLaGl8Bj,0,false,GM
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",12. SKY VINO,12. 滿心星,false,false,https://sh.hkjc.com/m/SavLaGl8Bj,0,false,GM
Race9,第9場,QUINELLA,連贏,"21/01 (Sun) 22:50, Class 3,|1650M, All Weather Track","21/01 (星期三) 22:50, 第三班,|1650米, 全天候跑道",13. ALLCASH,13. 凱明神駒,false,false,https://sh.hkjc.com/m/SavLaGl8Bj,0,false,GM
